longitude, latitude,name
-121.4016,36.85245,Grillin & Chillin Alehouse Brewery
-115.37637,32.81001,Humble Farmer Brewing
-123.11578,38.96866,Mendocino Brewing
-117.9954,33.7045,Beach City Brewery
-117.98864,33.72977,BJ's Restaurant & Brewhouse
-118.00164,33.72286,Brewbakers
-118.00027,33.69492,Four Sons Brewing Co
-118.0015,33.67747,Huntington Beach Beer Company
-118.0635,33.71212,Riip Beer Co
-124.08706,40.54536,Heatherdowns Brewery
-118.37461,33.96082,Three Weavers Brewing
-117.87222,35.66746,Indian Wells Brewing
-117.78726,33.70503,Back Street Brewery
-117.85186,33.68488,Evans Brewing Co
-117.84018,33.64955,Steelhead Brewing
-117.93473,34.12174,Miller Brewing
-116.89396,32.727,Cold Bore Brewing
-116.32403,34.11212,G Brewing
-116.60366,33.07923,Julian Brewing
-116.59121,33.07633,Nickel Beer Co
-119.07617,37.77882,June Lake Brewing
-122.83854,38.97783,Kelsey Creek Brewing
-122.78623,38.99894,Soda Bay Brewing
-118.41853,35.75693,Kern River Brewing
-117.27673,32.84588,Fat Cat Beer Co
-117.27367,32.84683,Karl Strauss Brewery and Grill
-117.2739,32.84079,La Jolla Brew House
-117.2339,32.87135,Rock Bottom Restaurant & Brewery
-117.64562,33.5643,Back Street Brewery
-122.10368,37.89051,Alpenglow Beer Co
-117.7835,33.54214,BJ's Restaurant and Brewery
-117.78349,33.54326,Ocean Avenue Brewing
-117.71037,33.61278,BJ's Restaurant and Brewery
-117.33987,33.68682,Craft Brewing
-117.3436,33.68789,ReaperAle
-122.92483,39.03564,O'Meara Brothers Brewing
-118.16585,33.82362,Timeless Pints Brewing
-117.02045,32.77191,Bolt Brewery
-117.00309,32.79419,Depot Springs Beer Co
-118.14562,34.66031,Bravery Brewing
-118.14323,34.69776,Kinetic Brewing
-122.51002,37.94816,Marin Brewing
-117.77181,34.0954,La Verne Brewing Co
-119.78222,36.27907,Shire Station Brewing
-119.88764,36.2631,Spuds Rest. & Brew Pub
-121.23897,38.92941,Double Dog Brewing
-121.26873,38.92441,GoatHouse Brewing
-121.29204,38.89156,Knee Deep Brewing
-121.72009,37.67626,Altamont Beer Works
-121.81255,37.69899,Eight Bridges Brewing
-121.72169,37.67802,Uncle Sam's Misguided Brewery
-121.72519,37.69753,Working Man's Brewing Co
-121.27391,38.1326,Lodi Beer Company
-121.27256,38.13035,Turning Gear Brewing
-118.14794,33.7596,Belmont Brewing
-118.1911,33.77048,Beachwood BBQ & Brewing
-118.18493,33.83358,Dutch's Brew House
-118.19239,33.76711,Rock Bottom Rest. & Brewery
-118.19029,33.78292,Trademark Brewing Co
-121.19045,38.83194,Loomis Basin Brewing
-122.12661,37.39343,Strike Brewing
